ISO_Code,City,AccentCity,Reference_year,Total,Male,Female,Literacy_Rate
spa,spartanburg,Spartanburg,2004,95,73,80,High
spe,speigner,Speigner,2007,95,71,63,High
sti,stiefeltown,Stiefeltown,2016,95,22,79,High
sto,stone park,Stone Park,2013,95,34,84,High
upp,upper topsaw landing,Upper Topsaw Landing,2006,95,77,74,High
wap,wappoola,Wappoola,2005,95,48,59,High
wel,wellridge,Wellridge,2009,95,77,24,High
wil,wilkinson heights,Wilkinson Heights,2004,95,86,33,High
wil,willie towne,Willie Towne,2004,95,56,48,High
woo,wood valley,Wood Valley,2008,95,64,100,High
woo,woodfields,Woodfields,2013,95,47,48,High
bie,bieglers first addition,Bieglers First Addition,2004,95,82,53,High
bla,blackpipe,Blackpipe,2002,95,47,78,High
kar,kargas subdivision,Kargas Subdivision,2005,95,42,67,High
kin,kingsburg,Kingsburg,2000,95,99,53,High
moe,moenville,Moenville,2009,95,20,87,High
win,winfred,Winfred,2014,95,29,51,High
apo,apollo shores,Apollo Shores,2003,95,32,85,High
bee,beech hill,Beech Hill,2001,95,49,78,High
ber,berclair,Berclair,2017,95,69,81,High
biv,bivens,Bivens,2005,95,57,38,High
bog,boggs,Boggs,2009,95,82,34,High
bra,brainerd hills,Brainerd Hills,2017,95,28,29,High
bri,briarcliff view,Briarcliff View,2010,95,22,56,High
cal,callie,Callie,2017,95,81,79,High
car,carson springs,Carson Springs,2007,95,48,45,High
cat,catons grove,Catons Grove,2007,95,91,74,High
dan,dannertown,Dannertown,2014,95,84,45,High
dav,davis chapel,Davis Chapel,2007,95,50,27,High
dry,dry gap,Dry Gap,2003,95,68,74,High
eli,elizabethton,Elizabethton,2011,95,28,95,High
glo,glover hill,Glover Hill,2007,95,65,32,High
har,hardin estates,Hardin Estates,2014,95,88,43,High
hug,hughett,Hughett,2011,95,87,45,High
isl,island forty,Island Forty,2003,95,73,23,High
kar,karns,Karns,2017,95,23,89,High
las,lascassas,Lascassas,2017,95,27,32,High
lyn,lynndale,Lynndale,2007,95,37,30,High
mar,marbuts,Marbuts,2009,95,71,27,High
min,minton mill,Minton Mill,2013,95,79,32,High
moo,mooneyham,Mooneyham,2011,95,36,25,High
new,newell station,Newell Station,2011,95,69,49,High
pal,pall mall,Pall Mall,2016,95,33,65,High
pil,pillowville,Pillowville,2001,95,73,49,High
por,porter gap,Porter Gap,2009,95,73,79,High
sev,sevenmile hill,Sevenmile Hill,2001,95,54,42,High
she,sherril heights,Sherril Heights,2000,95,75,80,High
slo,sloanville,Sloanville,2005,95,34,34,High
sou,southall,Southall,2002,95,30,57,High
tre,trezevant,Trezevant,2000,95,97,75,High
tuc,tuckers crossroads,Tuckers Crossroads,2006,95,24,20,High
whi,whittle springs,Whittle Springs,2002,95,54,91,High
wol,wolverine,Wolverine,2010,95,37,37,High
wri,wrigley,Wrigley,2014,95,27,92,High
you,youngville,Youngville,2004,95,69,37,High
aer,aero vista,Aero Vista,2013,95,74,34,High
alt,alto bonito,Alto Bonito,2009,95,87,57,High
amm,ammans crossing,Ammans Crossing,2014,95,62,22,High
ana,anadarko,Anadarko,2013,95,48,26,High
asp,aspermont,Aspermont,2001,95,55,91,High
bel,belt junction,Belt Junction,2001,95,84,29,High
bri,bridge city,Bridge City,2001,95,73,61,High
cal,callan,Callan,2002,95,75,40,High
col,coldspring,Coldspring,2006,95,20,78,High
com,comanche crossing,Comanche Crossing,2013,95,86,95,High
dal,dalhart,Dalhart,2000,95,70,68,High
dam,damon,Damon,2013,95,26,54,High
del,del mar heights,Del Mar Heights,2007,95,80,66,High
die,dies,Dies,2000,95,38,83,High
dir,direct,Direct,2007,95,50,80,High
edn,edna hill,Edna Hill,2010,95,27,31,High
el ,el carro,El Carro,2000,95,32,26,High
el ,el oso,El Oso,2004,95,77,97,High
elm,elm flat,Elm Flat,2000,95,98,63,High
fir,first crossing,First Crossing,2001,95,32,66,High
for,fort hancock,Fort Hancock,2009,95,65,77,High
for,fort inge,Fort Inge,2014,95,32,39,High
for,fort lancaster,Fort Lancaster,2011,95,67,23,High
ful,fulbright,Fulbright,2003,95,84,65,High
gra,grandfalls,Grandfalls,2016,95,94,67,High
gra,grape creek,Grape Creek,2006,95,43,59,High
ham,hamon,Hamon,2002,95,32,84,High
har,harpers crossing,Harpers Crossing,2014,95,70,56,High
hud,hudson bend,Hudson Bend,2003,95,91,88,High
joe,joe,Joe,2016,95,44,30,High
kei,keithton,Keithton,2002,95,100,68,High
leo,leon junction,Leon Junction,2006,95,55,37,High
lon,longfellow,Longfellow,2011,95,55,41,High
los,los garzas,Los Garzas,2008,95,84,26,High
max,maxwell crossing,Maxwell Crossing,2003,95,93,40,High
mil,millsville,Millsville,2008,95,27,79,High
mor,morgans point resort,Morgans Point Resort,2014,95,67,41,High
nin,nineteen mile crossing,Nineteen Mile Crossing,2001,95,47,49,High
nov,novohrad,Novohrad,2006,95,40,89,High
opl,oplin,Oplin,2011,95,41,42,High
pep,pep,Pep,2010,95,75,30,High
pri,priddy,Priddy,2006,95,48,94,High
pur,purmela,Purmela,2010,95,39,49,High
pyo,pyote,Pyote,2001,95,26,88,High
rey,reyes,Reyes,2011,95,46,81,High
sar,sarita,Sarita,2009,95,34,81,High
scu,scurlock,Scurlock,2009,95,68,36,High
sec,second crossing,Second Crossing,2012,95,51,60,High
sli,slide,Slide,2007,95,34,68,High
str,stryker creek junction,Stryker Creek Junction,2007,95,96,28,High
sul,sulphur bluff,Sulphur Bluff,2002,95,99,40,High
tho,thompson grove,Thompson Grove,2004,95,75,70,High
val,val verde,Val Verde,2005,95,75,85,High
ver,verdi,Verdi,2004,95,92,86,High
wal,wallisville,Wallisville,2013,95,90,41,High
wax,waxahachie,Waxahachie,2014,95,24,39,High
wee,weesatche,Weesatche,2008,95,99,75,High
wel,welder,Welder,2011,95,61,88,High
wes,west new hope,West New Hope,2001,95,51,20,High
wut,wuthrich hill,Wuthrich Hill,2002,95,49,72,High
yan,yantis,Yantis,2002,95,45,45,High
yar,yarborough,Yarborough,2001,95,61,81,High
ada,adams park,Adams Park,2000,95,66,38,High
aga,agate,Agate,2011,95,59,69,High
alt,altonah,Altonah,2002,95,44,62,High
asp,aspen glen condominium,Aspen Glen Condominium,2017,95,75,96,High
bei,beindneau summer home area,Beindneau Summer Home Area,2011,95,56,59,High
ben,bennion estates,Bennion Estates,2014,95,32,38,High
can,canterbay estates,Canterbay Estates,2004,95,72,82,High
cot,cottonwood meadows twin homes condominium,Cottonwood Meadows Twin Homes Condominium,2002,95,93,51,High
eas,eastwood subdivision number 5,Eastwood Subdivision Number 5,2006,95,55,49,High
hea,heather circle,Heather Circle,2015,95,25,93,High
heu,heughs canyon,Heughs Canyon,2003,95,48,67,High
kea,kearns,Kearns,2009,95,97,81,High
la ,la verkin,La Verkin,2001,95,40,86,High
mad,madsen,Madsen,2016,95,84,22,High
mou,mount jordan addition,Mount Jordan Addition,2006,95,54,96,High
oak,oakridge place,Oakridge Place,2014,95,100,100,High
ple,pleasant green acres subdivision,Pleasant Green Acres Subdivision,2013,95,50,62,High
pon,pondoray park,Pondoray Park,2011,95,39,73,High
sou,southridge subdivision 6,Southridge Subdivision 6,2002,95,29,73,High
tad,tad park,Tad Park,2001,95,29,22,High
the,the terraces condominium,The Terraces Condominium,2002,95,99,99,High
way,wayland station at old farm condo,Wayland Station At Old Farm Condo,2002,95,69,47,High
wes,west mountain,West Mountain,2011,95,54,29,High
chi,chittenden,Chittenden,2004,95,58,37,High
eas,east montpelier center,East Montpelier Center,2010,95,56,92,High
hub,hubbard corner,Hubbard Corner,2014,95,59,82,High
map,maple corner,Maple Corner,2017,95,42,43,High
mid,middletown springs,Middletown Springs,2012,95,22,90,High
she,sheldon springs,Sheldon Springs,2008,95,53,41,High
sou,south walden,South Walden,2014,95,80,87,High
tal,talcville,Talcville,2006,95,79,43,High
twi,twin orchards,Twin Orchards,2015,95,28,73,High
whi,whitingham,Whitingham,2010,95,43,53,High
for,fort christian,Fort Christian,2001,95,62,20,High
fre,frederiks haab,Frederiks Haab,2008,95,51,81,High
hog,hogensborg,Hogensborg,2009,95,36,95,High
par,parasol,Parasol,2012,95,27,34,High
arc,arcadia farm,Arcadia Farm,2015,95,82,47,High
ava,avalon hills,Avalon Hills,2014,95,52,25,High
bay,baylake beach,Baylake Beach,2012,95,56,100,High
bea,beamon,Beamon,2001,95,23,92,High
beu,beulahland,Beulahland,2004,95,60,59,High
blo,bloxom,Bloxom,2000,95,73,98,High
ced,cedar level,Cedar Level,2010,95,37,99,High
cen,central hill,Central Hill,2001,95,49,96,High
cen,centre heights,Centre Heights,2002,95,97,46,High
che,chesterfield court house,Chesterfield Court House,2006,95,75,23,High
cot,cottage green,Cottage Green,2008,95,27,100,High
cou,country green,Country Green,2010,95,95,72,High
cov,covingtons corner,Covingtons Corner,2000,95,53,98,High
dam,damtown,Damtown,2000,95,75,30,High
dev,devonshire gardens,Devonshire Gardens,2007,95,64,35,High
dro,drouin hill,Drouin Hill,2008,95,40,39,High
eli,elizabeth river shores,Elizabeth River Shores,2007,95,36,34,High
eng,england run,England Run,2011,95,40,47,High
fai,fairfax forest,Fairfax Forest,2013,95,88,33,High
fai,fairfield park,Fairfield Park,2005,95,73,64,High
fay,fayette park,Fayette Park,2005,95,37,87,High
fre,frederick heights,Frederick Heights,2004,95,39,28,High
gar,garland hill,Garland Hill,2015,95,38,87,High
geo,georges tavern,Georges Tavern,2009,95,94,64,High
gle,glencarlyn,Glencarlyn,2007,95,92,43,High
gwy,gwynn,Gwynn,2013,95,20,73,High
hiw,hiwassee,Hiwassee,2013,95,84,43,High
hub,hubbard junction,Hubbard Junction,2011,95,96,97,High
hyn,hynson knolls,Hynson Knolls,2003,95,69,51,High
ita,itata,Itata,2008,95,85,32,High
jea,jean court,Jean Court,2017,95,56,94,High
ken,kentuck,Kentuck,2002,95,34,94,High
lak,lake kennedy estates,Lake Kennedy Estates,2006,95,65,38,High
lak,lakeside homes,Lakeside Homes,2003,95,48,96,High
lam,lambsburg,Lambsburg,2017,95,77,99,High
lan,lanes corner,Lanes Corner,2008,95,75,51,High
lil,lilly,Lilly,2004,95,38,64,High
luc,lucks,Lucks,2015,95,94,89,High
lyo,lyon village,Lyon Village,2013,95,99,34,High
mab,mabelton,Mabelton,2011,95,70,89,High
man,manchester mill,Manchester Mill,2009,95,27,35,High
may,mayfair place,Mayfair Place,2010,95,92,86,High
mir,miran forest,Miran Forest,2016,95,23,32,High
mou,mount solon,Mount Solon,2002,95,44,38,High
nor,norvella heights,Norvella Heights,2008,95,54,54,High
pea,peacock,Peacock,2003,95,87,20,High
pen,penn laird,Penn Laird,2017,95,81,76,High
pin,pinero,Pinero,2002,95,87,55,High
ric,richland hills,Richland Hills,2016,95,27,33,High
rol,roland park,Roland Park,2002,95,22,70,High
roy,royal city,Royal City,2000,95,59,73,High
rut,ruther glen,Ruther Glen,2011,95,40,87,High
sco,scottswood,Scottswood,2008,95,30,33,High
she,sherwill,Sherwill,2002,95,82,65,High
shi,shilsons corner,Shilsons Corner,2011,95,65,53,High
spi,spivey store,Spivey Store,2007,95,93,64,High
sto,stormont,Stormont,2011,95,27,83,High
stu,studley farms,Studley Farms,2007,95,60,77,High
the,thessalia,Thessalia,2013,95,76,66,High
van,vandola,Vandola,2003,95,36,40,High
wal,waldrop,Waldrop,2011,95,33,70,High
wes,westgrove,Westgrove,2008,95,97,94,High
whi,white marsh,White Marsh,2011,95,66,63,High
yor,yorkshire park,Yorkshire Park,2007,95,59,41,High
ain,ainsworth junction,Ainsworth Junction,2002,95,74,39,High
bak,baker-langdon,Baker-Langdon,2000,95,45,91,High
boi,boistfort,Boistfort,2007,95,46,59,High
dis,discovery bay,Discovery Bay,2014,95,82,34,High
fis,fish town,Fish Town,2000,95,25,65,High
fry,fryelands,Fryelands,2017,95,100,55,High
glo,gloyd,Gloyd,2010,95,93,34,High
hig,highline,Highline,2005,95,23,48,High
hoc,hockinson,Hockinson,2009,95,69,41,High
la ,la center,La Center,2003,95,32,34,High
mad,madison park,Madison Park,2003,95,46,81,High
maz,mazama,Mazama,2001,95,32,82,High
mcm,mcmicken heights,Mcmicken Heights,2001,95,38,99,High
moo,moona,Moona,2013,95,29,97,High
nap,napavine,Napavine,2013,95,59,95,High
oce,ocean shores,Ocean Shores,2003,95,95,81,High
sai,saint urban,Saint Urban,2014,95,63,31,High
sta,stampede,Stampede,2013,95,93,37,High
wei,weikel,Weikel,2008,95,99,31,High
wis,wishram heights,Wishram Heights,2010,95,23,66,High
zan,zangar junction,Zangar Junction,2015,95,25,23,High
arb,arborland acres,Arborland Acres,2017,95,67,96,High
bes,bessemer,Bessemer,2001,95,58,36,High
bir,birch river,Birch River,2015,95,40,54,High
cir,circle view,Circle View,2003,95,40,91,High
cli,clinton furnace,Clinton Furnace,2007,95,96,73,High
cru,crumpler,Crumpler,2016,95,21,42,High
dar,dartmont,Dartmont,2002,95,93,79,High
gat,gatzmer,Gatzmer,2013,95,32,81,High
gri,griffith creek,Griffith Creek,2014,95,37,31,High
han,handley,Handley,2001,95,80,98,High
hat,hatcher,Hatcher,2008,95,82,26,High
hol,holly meadows,Holly Meadows,2003,95,79,100,High
jak,jakes run,Jakes Run,2008,95,75,56,High
kop,kopperston,Kopperston,2017,95,42,47,High
lea,leander,Leander,2015,95,35,50,High
les,lesage,Lesage,2009,95,72,31,High
mcc,mccreery,Mccreery,2008,95,66,20,High
mou,mount de chantal,Mount De Chantal,2016,95,35,82,High
plu,plum orchard,Plum Orchard,2005,95,78,47,High
qui,quinnimont,Quinnimont,2003,95,35,53,High
roc,rocksdale,Rocksdale,2002,95,34,38,High
sab,sabraton,Sabraton,2007,95,29,79,High
sca,scarlet,Scarlet,2011,95,52,37,High
tal,tallmans,Tallmans,2009,95,54,68,High
wev,wevaco,Wevaco,2017,95,35,78,High
ald,alderley,Alderley,2014,95,37,68,High
ark,arkansaw,Arkansaw,2013,95,85,27,High
goo,gooseville,Gooseville,2001,95,70,57,High
hun,hunting,Hunting,2007,95,93,97,High
int,interwald,Interwald,2006,95,85,69,High
kel,kellnersville,Kellnersville,2017,95,97,54,High
lan,langes corners,Langes Corners,2013,95,27,71,High
lit,little rose,Little Rose,2003,95,75,77,High
new,new post,New Post,2001,95,98,46,High
pon,poniatowski,Poniatowski,2007,95,48,84,High
por,porcupine,Porcupine,2001,95,49,31,High
ros,rose lawn,Rose Lawn,2011,95,61,96,High
tul,tuleta hills,Tuleta Hills,2011,95,99,37,High
pet,petrie,Petrie,2005,95,94,22,High
bab,babbie,Babbie,2010,96,98,94,High
bal,ball flat,Ball Flat,2010,96,96,96,High
bax,baxters,Baxters,2011,96,97,95,High
ber,berkley hills,Berkley Hills,2012,96,96,95,High
bla,blackankle,Blackankle,2010,96,97,95,High
blo,blossburg,Blossburg,2010,96,98,94,High
bow,bowman crossroads,Bowman Crossroads,2011,96,97,95,High
bur,burnstown,Burnstown,2010,96,97,95,High
byr,byrd,Byrd,2010,96,98,94,High
car,carns,Carns,2011,96,97,95,High
cha,chamblee,Chamblee,2012,96,96,95,High
chi,chinn,Chinn,2010,96,97,95,High
cla,clackville,Clackville,2010,96,98,94,High
cla,clanton,Clanton,2010,96,96,96,High
cof,coffeeville landing,Coffeeville Landing,2011,96,97,95,High
cot,cotton ridge,Cotton Ridge,2012,96,96,95,High
cre,crews mobile home park,Crews Mobile Home Park,2010,96,97,95,High
cru,crudup,Crudup,2010,96,98,94,High
duc,duck springs,Duck Springs,2010,96,57,34,High
ech,echola,Echola,2017,96,72,65,High
fal,falkner,Falkner,2004,96,89,57,High
gle,glen mary,Glen Mary,2013,96,91,35,High
hel,helicon,Helicon,2003,96,30,70,High
hor,horn hill,Horn Hill,2002,96,48,49,High
hor,hornsbytown,Hornsbytown,2011,96,65,82,High
kel,kellys crossroads,Kellys Crossroads,2006,96,86,96,High
lak,lake coves,Lake Coves,2004,96,99,94,High
laz,lazy v lake acres,Lazy V Lake Acres,2010,96,93,89,High
lig,lightwood,Lightwood,2015,96,68,72,High
lon,lone oak subdivision,Lone Oak Subdivision,2012,96,44,80,High
mag,magnolia courts,Magnolia Courts,2016,96,32,59,High
mon,montgomery hill landing,Montgomery Hill Landing,2009,96,97,99,High
mor,morris heights,Morris Heights,2010,96,29,48,High
nen,nenemoosha,Nenemoosha,2010,96,78,36,High
noo,noojinsville,Noojinsville,2004,96,76,32,High
pea,pea ridge crossroads,Pea Ridge Crossroads,2004,96,86,57,High
pin,pine bluff estates,Pine Bluff Estates,2003,96,32,66,High
rab,rabbittown,Rabbittown,2003,96,42,67,High
ric,richmond hills,Richmond Hills,2008,96,43,45,High
roe,roe landing,Roe Landing,2012,96,24,25,High
san,sanford springs,Sanford Springs,2000,96,71,33,High
sea,searight,Searight,2013,96,83,52,High
smi,smiths chapel,Smiths Chapel,2010,96,67,52,High
sta,stamp,Stamp,2012,96,68,87,High
ste,stewarts,Stewarts,2008,96,86,39,High
tay,taylors mill,Taylors Mill,2004,96,48,57,High
toi,toinette,Toinette,2012,96,77,65,High
vul,vulcan city,Vulcan City,2001,96,50,45,High
wal,wallstown,Wallstown,2006,96,32,90,High
wed,wedgeworth,Wedgeworth,2013,96,73,57,High
wig,wiginton,Wiginton,2006,96,55,77,High
woo,woodall place,Woodall Place,2005,96,34,70,High
eli,elilakok,Elilakok,2002,96,52,48,High
fun,funny river,Funny River,2002,96,98,96,High
gra,grant creek,Grant Creek,2003,96,74,96,High
low,lower kalskag,Lower Kalskag,2009,96,29,24,High
mck,mckinley park,Mckinley Park,2011,96,84,46,High
nak,naknek,Naknek,2006,96,100,89,High
sha,shageluk,Shageluk,2008,96,43,97,High
anu,anua,Anua,2015,96,30,27,High
fut,futiga,Futiga,2003,96,84,77,High
air,aire libre mobile home park,Aire Libre Mobile Home Park,2014,96,56,25,High
ber,bernardino,Bernardino,2014,96,20,98,High
che,chetco,Chetco,2010,96,29,47,High
chu,chuichu,Chuichu,2005,96,96,45,High
del,deluxe trailer court,Deluxe Trailer Court,2013,96,22,84,High
den,dennison,Dennison,2008,96,96,87,High
des,desert pines,Desert Pines,2013,96,60,72,High
el ,el mirage,El Mirage,2016,96,54,76,High
elo,eloy,Eloy,2012,96,68,99,High
hoh,hohokam village,Hohokam Village,2012,96,96,51,High
hor,horse crossing,Horse Crossing,2002,96,51,42,High
ita,itak,Itak,2015,96,88,70,High
jon,jones crossing,Jones Crossing,2003,96,78,80,High
lit,litchfield junction,Litchfield Junction,2016,96,67,21,High
mou,mountainaire,Mountainaire,2010,96,55,27,High
par,parkview estates,Parkview Estates,2002,96,98,50,High
rou,roundy crossing,Roundy Crossing,2014,96,77,26,High
six,sixmile village,Sixmile Village,2008,96,66,35,High
tar,tartron,Tartron,2014,96,100,85,High
the,the trails iii,The Trails Iii,2002,96,20,72,High
was,washington camp,Washington Camp,2009,96,75,24,High
wic,wickchoupai,Wickchoupai,2000,96,25,77,High
alf,alfrey,Alfrey,2017,96,74,23,High
bay,bayless,Bayless,2005,96,77,61,High
bur,burks,Burks,2005,96,28,81,High
cro,crow creek,Crow Creek,2016,96,88,70,High
dug,dugger,Dugger,2012,96,40,94,High
fla,flat,Flat,2014,96,89,44,High
gob,gobell,Gobell,2005,96,97,40,High
haz,hazel valley,Hazel Valley,2015,96,44,87,High
her,herpel,Herpel,2001,96,25,31,High
heu,heustess,Heustess,2005,96,68,52,High
les,lesterville,Lesterville,2009,96,94,60,High
lon,lono,Lono,2015,96,99,81,High
mou,mounds,Mounds,2006,96,89,90,High
mou,mount judea,Mount Judea,2009,96,34,42,High
mou,mount springs estates,Mount Springs Estates,2005,96,43,76,High
nor,northview subdivision,Northview Subdivision,2004,96,74,83,High
ran,ranger,Ranger,2009,96,64,91,High
sil,silent grove,Silent Grove,2017,96,98,99,High
vin,vinity corner,Vinity Corner,2006,96,72,73,High
wed,wedington woods,Wedington Woods,2010,96,80,24,High
bal,balboa island,Balboa Island,2005,96,32,23,High
bla,black jack bluffs,Black Jack Bluffs,2011,96,20,51,High
blo,blossom valley,Blossom Valley,2000,96,31,60,High
caj,cajon,Cajon,2002,96,89,25,High
cam,cameron corners,Cameron Corners,2016,96,71,35,High
cen,centerville district,Centerville District,2014,96,63,58,High
dat,date city,Date City,2016,96,78,34,High
dee,deer haven,Deer Haven,2010,96,80,79,High
el ,el monte,El Monte,2010,96,78,95,High
est,estrellita,Estrellita,2006,96,79,50,High
for,forest ranch,Forest Ranch,2003,96,36,85,High
gat,gato,Gato,2010,96,44,81,High
hay,hayden hill,Hayden Hill,2015,96,34,79,High
hyd,hydril,Hydril,2010,96,80,81,High
lak,lake of the woods,Lake Of The Woods,2008,96,31,84,High
lir,lira,Lira,2001,96,55,52,High
loc,lockeford,Lockeford,2003,96,25,34,High
mar,martins beach,Martins Beach,2015,96,31,100,High
new,newport beach,Newport Beach,2013,96,34,69,High
par,parkmoor,Parkmoor,2016,96,64,75,High
pat,patrick creek,Patrick Creek,2002,96,58,83,High
pie,pieta,Pieta,2003,96,27,52,High
pin,pine flat,Pine Flat,2005,96,31,31,High
ram,ramada,Ramada,2004,96,35,78,High
riv,riverside junction,Riverside Junction,2008,96,63,53,High
san,san ramon village,San Ramon Village,2009,96,62,100,High
seq,sequoia,Sequoia,2011,96,44,39,High
sho,shoshone,Shoshone,2014,96,85,84,High
sta,standiford,Standiford,2011,96,48,40,High
tho,thomas lane,Thomas Lane,2001,96,80,46,High
val,valyermo,Valyermo,2009,96,36,29,High
wyn,wyntoon,Wyntoon,2014,96,48,51,High
dee,deermont,Deermont,2003,96,82,29,High
hi-,hi-land acres,Hi-Land Acres,2015,96,45,98,High
ind,indians hills,Indians Hills,2012,96,60,52,High
sta,stanley park,Stanley Park,2002,96,65,54,High
top,toponas,Toponas,2008,96,43,68,High
uta,utaline,Utaline,2000,96,79,87,High
wes,westcreek,Westcreek,2001,96,34,38,High
bul,bull run corner,Bull Run Corner,2014,96,41,23,High
bur,burnt hill,Burnt Hill,2013,96,62,70,High
eas,east haddam,East Haddam,2015,96,37,69,High
pla,platts mills,Platts Mills,2009,96,91,70,High
bea,beachfield,Beachfield,2003,96,99,32,High
bev,beverly woods,Beverly Woods,2011,96,53,66,High
bra,brackenville woods,Brackenville Woods,2011,96,80,66,High
coa,coach hill,Coach Hill,2013,96,50,75,High
col,collins park mobile home park,Collins Park Mobile Home Park,2001,96,46,21,High
coo,cooper farm,Cooper Farm,2001,96,58,55,High
gre,great good place,Great Good Place,2017,96,56,38,High
kin,kings cliff mobile home park,Kings Cliff Mobile Home Park,2008,96,88,42,High
mee,meeting house hill,Meeting House Hill,2010,96,71,83,High
nor,north hills,North Hills,2012,96,41,84,High
por,portsville,Portsville,2008,96,57,65,High
san,sand dunes village,Sand Dunes Village,2009,96,38,58,High
sha,shawnee acres,Shawnee Acres,2009,96,50,28,High
she,sheridan square,Sheridan Square,2017,96,52,80,High
the,the blades,The Blades,2015,96,94,69,High
whi,whispering pines mobile home park,Whispering Pines Mobile Home Park,2008,96,93,66,High
woo,wooden bridge,Wooden Bridge,2016,96,80,63,High
gat,gateway,Gateway,2007,96,84,66,High
the,the palisades,The Palisades,2004,96,37,39,High
tru,truxton circle,Truxton Circle,2014,96,44,88,High
arr,arredondo,Arredondo,2010,96,60,65,High
ast,astor farms,Astor Farms,2005,96,71,26,High
bev,beverley beach,Beverley Beach,2002,96,46,75,High
cit,citra,Citra,2004,96,94,20,High
cob,cobbtown,Cobbtown,2014,96,31,21,High
cos,cosson mill,Cosson Mill,2015,96,74,60,High
cry,crystal heights,Crystal Heights,2017,96,90,48,High
flo,florida gardens,Florida Gardens,2003,96,56,100,High
lak,lake kathryn heights,Lake Kathryn Heights,2006,96,52,56,High
maj,majette,Majette,2004,96,56,67,High
mel,melbourne village,Melbourne Village,2010,96,98,91,High
mel,melton manor,Melton Manor,2013,96,99,75,High
mex,mexico beach,Mexico Beach,2010,96,46,73,High
old,old duette,Old Duette,2015,96,70,24,High
shi,shired island,Shired Island,2000,96,74,57,High
sun,sunnyland,Sunnyland,2000,96,44,57,High
tho,thonotosassa,Thonotosassa,2012,96,80,71,High
van,vanderbilt beach estates,Vanderbilt Beach Estates,2013,96,79,64,High
ann,anna bella estates,Anna Bella Estates,2012,96,90,40,High
arm,armena,Armena,2011,96,35,65,High
bra,brannons branch,Brannons Branch,2009,96,65,33,High
buf,buffalo ranch,Buffalo Ranch,2008,96,75,67,High
cas,castlegate,Castlegate,2000,96,49,57,High
cob,cobb place manor,Cobb Place Manor,2002,96,26,91,High
con,conley,Conley,2007,96,68,94,High
cre,creekwood estates,Creekwood Estates,2014,96,47,50,High
for,fort oglethorpe,Fort Oglethorpe,2009,96,51,100,High
gai,gainesville mills,Gainesville Mills,2011,96,100,100,High
gra,gracewood,Gracewood,2015,96,66,23,High
hid,hidden branches,Hidden Branches,2005,96,46,99,High
hou,houston lake woods,Houston Lake Woods,2017,96,49,53,High
how,howell estates,Howell Estates,2006,96,66,61,High
lak,lake sardis estates,Lake Sardis Estates,2010,96,85,77,High
lew,lewiston downs,Lewiston Downs,2013,96,68,31,High
lin,linesville,Linesville,2017,96,68,75,High
lov,lovett,Lovett,2012,96,50,92,High
moo,moores crossroads,Moores Crossroads,2004,96,70,74,High
oak,oak mountain,Oak Mountain,2007,96,22,94,High
pic,pickard,Pickard,2015,96,78,91,High
pla,plantation manor,Plantation Manor,2014,96,60,31,High
rol,rolling meadows estates,Rolling Meadows Estates,2003,96,51,44,High
sho,shoulderbone,Shoulderbone,2012,96,52,25,High
sky,skylane hills,Skylane Hills,2009,96,42,95,High
smo,smoke rise plantation,Smoke Rise Plantation,2013,96,68,56,High
sta,star point,Star Point,2015,96,43,80,High
sut,sutallee,Sutallee,2016,96,36,46,High
vil,villanow,Villanow,2015,96,93,48,High
win,winfield hill,Winfield Hill,2016,96,60,80,High
cor,corten torres,Corten Torres,2008,96,55,67,High
haf,hafa adai village subdivision,Hafa Adai Village Subdivision,2012,96,42,82,High
tum,tumon chama,Tumon Chama,2001,96,28,20,High
hal,hale homaha,Hale Homaha,2017,96,46,85,High
kee,keei,Keei,2007,96,62,83,High
kom,komohana kai,Komohana Kai,2005,96,74,43,High
mok,mokaoku,Mokaoku,2000,96,73,26,High
sto,store village,Store Village,2006,96,46,84,High
wai,waiahole,Waiahole,2011,96,33,33,High
arc,arco,Arco,2007,96,37,69,High
cac,cache,Cache,2000,96,69,35,High
hal,haley,Haley,2003,96,84,99,High
peb,pebble,Pebble,2013,96,70,86,High
qui,quigley,Quigley,2013,96,41,34,High
son,sonna,Sonna,2016,96,87,28,High
stu,stull,Stull,2016,96,98,56,High
tri,triumph,Triumph,2016,96,43,23,High
ame,ament corners,Ament Corners,2006,96,70,75,High
fai,faithorn,Faithorn,2008,96,91,98,High
gru,grumle corner,Grumle Corner,2000,96,70,29,High
ill,illiana,Illiana,2001,96,31,88,High
jol,joliet,Joliet,2009,96,93,25,High
kan,kaneville,Kaneville,2016,96,23,67,High
lov,lovilla,Lovilla,2006,96,20,79,High
mel,melwood,Melwood,2003,96,25,56,High
mor,morehaven,Morehaven,2013,96,38,56,High
mou,mount fulcher,Mount Fulcher,2017,96,50,33,High
ott,otto,Otto,2001,96,56,86,High
pas,passport,Passport,2015,96,25,28,High
rom,romeo,Romeo,2001,96,97,67,High
see,seehorn,Seehorn,2014,96,39,98,High
sou,south rome,South Rome,2017,96,29,74,High
swa,swanwick,Swanwick,2001,96,96,78,High
tex,texas city,Texas City,2008,96,31,84,High
van,vanderville,Vanderville,2011,96,58,88,High
ala,alaska,Alaska,2006,96,20,32,High
cha,chain-o-lakes,Chain-O-Lakes,2009,96,62,74,High
cla,clark siding,Clark Siding,2013,96,86,39,High
