City,Ease_of_Transport_Rank,Transport_level
Milne,25879,High
Milroy,25880,High
Mindale,25881,High
Minier,25882,High
Minonk,25883,High
Mira,25884,High
Missal,25885,High
Missionfield,25886,High
Mitchells Subdivision,25887,High
Mitchellsville,25888,High
Mitchie,25889,High
Mode,25890,High
Modena,25891,High
Moellenbrocks,25892,High
Mokena,25893,High
Moline,25894,High
Momence,25895,High
Monaville,25896,High
Monee,25897,High
Monroe Center,25898,High
Monroe City,25899,High
Mont Station,25900,High
Moonshine,25901,High
Moorefield Estates,25902,High
Mooseheart,25903,High
Moran Corners,25904,High
Morea,25905,High
Morehaven,25906,High
Moronts,25907,High
Morrelville,25908,High
Morrisonville,25909,High
Morseville,25910,High
Mortimer,25911,High
Morton Grove,25912,High
Mount Auburn,25913,High
Mount Carbon,25914,High
Mount Carroll,25915,High
Mount Clare,25916,High
Mount Erie,25917,High
Mount Fulcher,25918,High
Mount Morris,25919,High
Mount Palatine,25920,High
Mount Prospect,25921,High
Mount Pulaski,25922,High
Mountain Glen,25923,High
Moweaqua,25924,High
Mountjoy,25925,High
Mozier,25926,High
Mozier Landing,25927,High
Muddy,25928,High
Mulkeytown,25929,High
Muncie,25930,High
Mundelein,25931,High
Munger,25932,High
Munster,25933,High
Murphysboro,25934,High
Mylith Park,25935,High
Nachusa,25936,High
Nameoki,25937,High
Naperville,25938,High
Naplate,25939,High
Narita,25940,High
Nason,25941,High
Natrona,25942,High
Neadmore,25943,High
Nekoma,25944,High
Nettle Creek,25945,High
Neunert,25946,High
New Athens,25947,High
New Baden,25948,High
New Bedford,25949,High
New Boston,25950,High
New Burnside,25951,High
New Canton,25952,High
New City,25953,High
New Columbia,25954,High
New Delhi,25955,High
New Dennison,25956,High
New Douglas,25957,High
New Grand Chain,25958,High
New Hanover,25959,High
New Hebron,25960,High
New Lebanon,25961,High
New Lenox,25962,High
New Memphis,25963,High
New Memphis Station,25964,High
New Minden,25965,High
New Palestine,25966,High
New Philadelphia,25967,High
New Windsor,25968,High
Newmansville,25969,High
Newton Corners,25970,High
Nilwood,25971,High
Niota,25972,High
Nipper Corner,25973,High
Noltings,25974,High
Norridge,25975,High
Norris City,25976,High
North Alton,25977,High
North Aurora,25978,High
North Barrington,25979,High
North Chicago,25980,High
North Chillicothe,25981,High
North Dupo,25982,High
North Glen Ellyn,25983,High
North Hampton,25984,High
North Hanover,25985,High
North Harbor,25986,High
North Henderson,25987,High
North Hooper,25988,High
North Mounds,25989,High
North Northfield,25990,High
North Pekin,25991,High
North Peoria,25992,High
North Plato,25993,High
North Quincy,25994,High
North Riverside,25995,High
North Shoreline,25996,High
North Venice,25997,High
North Wind,25998,High
Northbrook,25999,High
Northfield Woods,26000,High
Norway,26001,High
Nottingham Woods,26002,High
Notre Dame,26003,High
Novak Park,26004,High
Ofallon,26005,High
Oak Brook,26006,High
Oakbrook Terrace,26007,High
Oakford,26008,High
Oakglen,26009,High
Oakland Center,26010,High
Oakwood Heights,26011,High
Obed,26012,High
Oblong,26013,High
Ocoya,26014,High
Odgen,26015,High
Odin,26016,High
Ogle,26017,High
Ogles,26018,High
Ohlman,26019,High
Oil Center,26020,High
Oil Grove,26021,High
Oilfield,26022,High
Okawville,26023,High
Old Brownfield,26024,High
Old Du Quoin,26025,High
Old Gilchrist,26026,High
Old Kane,26027,High
Old Kaskaskia,26028,High
Old Marissa,26029,High
Old Mill Creek,26030,High
Old Niota,26031,High
Old Pearl,26032,High
Old Princeton,26033,High
Old Ripley,26034,High
Old Salem Chautauqua,26035,High
Old Shawneetown,26036,High
Old State Mobile Home Village,26037,High
Old Stonington,26038,High
Oldenburg,26039,High
Olin,26040,High
Olivet,26041,High
Olmsted,26042,High
Olympia Fields,26043,High
Onarga,26044,High
Ontarioville,26045,High
Opdyke,26046,High
Ophiem,26047,High
Oquawka,26048,High
Orangemans Hall,26049,High
Orange Prairie,26050,High
Orangeville,26051,High
Oraville,26052,High
Orchard Mines,26053,High
Orchardville,26054,High
Oregon,26055,High
Orient,26056,High
Orio,26057,High
Orland Hills,26058,High
Orland Park,26059,High
Ormonde,26060,High
Osbernville,26061,High
Oskaloosa,26062,High
Osman,26063,High
Ospur,26064,High
Oswego,26065,High
Ottawa,26066,High
Otterville,26067,High
Ottville,26068,High
Owaneco,26069,High
Owen Center,26070,High
Oxville,26071,High
Paderborn,26072,High
Padua,26073,High
Paineville,26074,High
Paisley Corners,26075,High
Palatine,26076,High
Palm Garden Mobile Home Park,26077,High
Palmerton,26078,High
Palos Heights,26079,High
Palos Hills,26080,High
Palos Park,26081,High
Palzo,26082,High
Pankeyville,26083,High
Panorama Hills,26084,High
Papineau,26085,High
Park Ridge,26086,High
Pasfield,26087,High
Passport,26088,High
Patterson Springs,26089,High
Pattonsburg,26090,High
Paulton,26091,High
Pavillion,26092,High
Paw Paw,26093,High
Pawnee Junction,26094,High
Paynes Point,26095,High
Paytonville,26096,High
Peabody,26097,High
Pecatonica,26098,High
Pekin,26099,High
Pekin Heights,26100,High
Pellville,26101,High
Pennington Point,26102,High
Peoria Heights,26103,High
Peotone,26104,High
Perks,26105,High
Percy,26106,High
Perdueville,26107,High
Peru,26108,High
Peterstown,26109,High
Peterville,26110,High
Pershing,26111,High
Pesotum,26112,High
Pharoahs Gardens,26113,High
Phillipstown,26114,High
Piasa,26115,High
Piasa Hills,26116,High
Piatt,26117,High
Pierceburg,26118,High
Pierron,26119,High
Pinckneyville,26120,High
Pingree Grove,26121,High
Pine Meadow Estates,26122,High
Piopolis,26123,High
Piper City,26124,High
Pistakee,26125,High
Pistakee Highlands,26126,High
Pitchin,26127,High
Pinkstaff,26128,High
Pittsfield,26129,High
Pittwood,26130,High
Plato Center,26131,High
Plato Corners,26132,High
Plattville,26133,High
Pleak,26134,High
Pleasant Mound,26135,High
Plum Hill,26136,High
Plumfield,26137,High
Poag,26138,High
Polsgrove,26139,High
Polo,26140,High
Ponemah,26141,High
Pontiac,26142,High
Pontoon Beach,26143,High
Pontoosuc,26144,High
Poplar City,26145,High
Port Byron,26146,High
Port Jackson,26147,High
Portage,26148,High
Portuguese Hill,26149,High
Posen,26150,High
Potomac,26151,High
Pottstown,26152,High
Poverty Ridge,26153,High
Powerton,26154,High
Prairie Hall,26155,High
Prairie Shores,26156,High
Prairie Du Rocher,26157,High
Prairietown,26158,High
Prairieview Estates,26159,High
Preemption,26160,High
Prentice,26161,High
Preston Heights,26162,High
Prince Crossing,26163,High
Prophetstown,26164,High
Prouty,26165,High
Pruett,26166,High
Pryortown,26167,High
Puder,26168,High
Pureton,26169,High
Pyatts,26170,High
Pyramid,26171,High
Quatoga Bluff,26172,High
Quentin Corners,26173,High
Quiver Beach,26174,High
Raddle,26175,High
Radley,26176,High
Radom,26177,High
Radville,26178,High
Rafetown,26179,High
Rainbow Hills,26180,High
Ramsey Acres,26181,High
Ransom,26182,High
Rantoul,26183,High
Rapatee,26184,High
Rapids City,26185,High
Rardin,26186,High
Raritan,26187,High
Raum,26188,High
Raven,26189,High
Ravinia,26190,High
Rawson Bridge,26191,High
Rawalts,26192,High
Raynor Park,26193,High
Rayville,26194,High
Reading,26195,High
Reardon,26196,High
Red Bud,26197,High
Red Top,26198,High
Reddish,26199,High
Redmon,26200,High
Reed Crossing,26201,High
Reeds Station,26202,High
Rees,26203,High
Reevesville,26204,High
Reilly,26205,High
Reily Lake,26206,High
Renault,26207,High
Rend City,26208,High
Rennerville,26209,High
Renshaw,26210,High
Rentchler,26211,High
Resthaven,26212,High
Reynoldsburg,26213,High
Richards,26214,High
Richards Park,26215,High
Richton Park,26216,High
Richview,26217,High
Riddle Hill,26218,High
Ridge Farm,26219,High
Ridgely,26220,High
Ridott,26221,High
Ridott Corners,26222,High
Riehl,26223,High
Riffle,26224,High
Riggston,26225,High
Rileyville,26226,High
Rinard,26227,High
Ringwood,26228,High
Rising,26229,High
Risk,26230,High
River,26231,High
River Grove,26232,High
Riverside Mobile Home Estates,26233,High
Riverstream,26234,High
Riverwoods,26235,High
Roaches,26236,High
Roachtown,26237,High
Robbs,26238,High
Robein,26239,High
Roby,26240,High
Rock Falls,26241,High
Rock Grove,26242,High
Rock Run Park,26243,High
Rockdale Junction,26244,High
Rockefeller,26245,High
Rockton,26246,High
Rodden,26247,High
Rodemich,26248,High
Rodgersville,26249,High
Rohrer,26250,High
Rolling Green,26251,High
Rolling Greens Mobile Home Park,26252,High
Rollo,26253,High
Romeoville,26254,High
Rondout,26255,High
Roodhouse,26256,High
Rooks Creek,26257,High
Roots,26258,High
Rosecrans,26259,High
Rosewood Heights,26260,High
Roslyn,26261,High
Rosiclare,26262,High
Rossville Junction,26263,High
Roth,26264,High
Round Grove,26265,High
Round Knob,26266,High
Round Lake Beach,26267,High
Round Lake Heights,26268,High
Round Lake Park,26269,High
Round Prairie,26270,High
Rowe,26271,High
Royal Acres Trailer Park,26272,High
Royal Heights,26273,High
Royal Lake,26274,High
Royal Lake Resort,26275,High
Royalton,26276,High
Rozetta,26277,High
Ruark,26278,High
Rudement,26279,High
Ruffled Feathers Golf Community,26280,High
Ruma,26281,High
Rumpler,26282,High
Rural Hill,26283,High
Rushville,26284,High
Rust,26285,High
Rustic Acres,26286,High
Sabina,26287,High
Sadorus,26288,High
Sag Bridge,26289,High
Saidora,26290,High
Sailor Springs,26291,High
Saint Anne,26292,High
Saint Anne Woods,26293,High
Saint Francisville,26294,High
Saint Jacob,26295,High
Saint Libory,26296,High
Saint Mary,26297,High
Saint Morgan,26298,High
Saint Rose,26299,High
Sainte Marie,26300,High
Saline City,26301,High
Saline Landing,26302,High
Saluda,26303,High
Samoth,26304,High
Samsville,26305,High
Samuel A Rothermel Houses,26306,High
Samuelson Corners,26307,High
Sand Barrens,26308,High
Sandburn,26309,High
Sandoval,26310,High
Sandwich,26311,High
Sangamon,26312,High
Sankoty,26313,High
Sato,26314,High
Saratoga Center,26315,High
Sauganash,26316,High
Sauget,26317,High
Sauk Village,26318,High
Saunemin,26319,High
Savage,26320,High
Savanna,26321,High
Scales Mound,26322,High
Schaeferville,26323,High
Schapville,26324,High
Schaufel Corners,26325,High
Schaumburg,26326,High
Scheller,26327,High
Schick,26328,High
Schiller Park,26329,High
Schnell,26330,High
Schoper,26331,High
Schram City,26332,High
Schrodts Station,26333,High
Schrum,26334,High
Schuline,26335,High
Schwer,26336,High
Sciota,26337,High
Scioto Mills,26338,High
Scottsburg,26339,High
Scottville,26340,High
Scovel,26341,High
Scraper-Moecherville,26342,High
Seatonville,26343,High
Secor,26344,High
Seehorn,26345,High
Sefton,26346,High
Selmaville,26347,High
Seminary,26348,High
Sepo,26349,High
Sesser,26350,High
Sexson Corner,26351,High
Shabbona,26352,High
Shabbona Grove,26353,High
Shadow Lawn,26354,High
Shady Beach,26355,High
Shakerag,26356,High
Shale Bluff,26357,High
Shale City,26358,High
Shanghai City,26359,High
Shattuc,26360,High
Shawneetown,26361,High
Shaws,26362,High
Sheldons Grove,26363,High
Shepherd,26364,High
Sherburnville,26365,High
Sheridan Estates,26366,High
Sherman Corners,26367,High
Sherrard,26368,High
Sherwood Oaks,26369,High
Shetlerville,26370,High
Shields,26371,High
Shiloh Hill,26372,High
Shiloh Station,26373,High
Shipman,26374,High
Shirland,26375,High
Shobonier,26376,High
Shokokon,26377,High
Shoo Fly,26378,High
Shop Creek,26379,High
Sicily,26380,High
Sigel,26381,High
Silent Meadow,26382,High
Silvis,26383,High
Skelton,26384,High
Skare Estates,26385,High
Ski Hill,26386,High
Skokie,26387,High
Skokie Junction,26388,High
Skokie Manor,26389,High
Sloan Station,26390,High
Slocum Corners,26391,High
Smithshire,26392,High
Smothersville,26393,High
Snearlyville,26394,High
Snicarte,26395,High
Snider,26396,High
Sollitt,26397,High
Solon Mills,26398,High
Somonauk,26399,High
Soperville,26400,High
Sorento,26401,High
South Addison,26402,High
South Barrington,26403,High
South Beloit,26404,High
South Chicago,26405,High
South Elgin,26406,High
South Elkhorn,26407,High
South Elmhurst,26408,High
South Evanston,26409,High
South Freeport,26410,High
South Harvey,26411,High
South Chicago Heights,26412,High
South Danville,26413,High
South Deering,26414,High
South Lockport,26415,High
South Holland,26416,High
South Paw Paw,26417,High
South Pekin,26418,High
South Rome,26419,High
South Roxana,26420,High
South Strasburg,26421,High
Southern Hills,26422,High
Southern View,26423,High
Southlawn,26424,High
Southmoor,26425,High
Spankey,26426,High
Sparks Hill,26427,High
Sparland,26428,High
Spaulding Corners,26429,High
Speer,26430,High
Spillertown,26431,High
Spires,26432,High
Spring Bay,26433,High
Spring Grove,26434,High
Spring Lake Mobile Home Park,26435,High
Springer Station,26436,High
Springerton,26437,High
Stagecoach Hills,26438,High
Stagecoach Junction,26439,High
Standard City,26440,High
Staples Corner,26441,High
Starne,26442,High
State Park Place,26443,High
State Road,26444,High
Stavanger,26445,High
Steel City,26446,High
Steeleville,26447,High
Steelton,26448,High
Steger,26449,High
Sterling Place,26450,High
Steward,26451,High
Stewardson,26452,High
Stickney,26453,High
Stillman Valley,26454,High
Stiritz,26455,High
Stockland,26456,High
Stoehrs,26457,High
Stolle,26458,High
Stolletown,26459,High
Stone Fort,26460,High
Stone Park,26461,High
Stonefort,26462,High
Stoneyville,26463,High
Stoy,26464,High
Stony Island,26465,High
Straut,26466,High
Strawn,26467,High
Strawns Crossing,26468,High
Streadle,26469,High
Streamwood,26470,High
Streator,26471,High
Stronghurst,26472,High
Stubblefield,26473,High
Sublette,26474,High
Sudduth,26475,High
Sugar Creek Ranch,26476,High
Sugar Island,26477,High
Sugarloaf Heights,26478,High
Summersville,26479,High
Summum,26480,High
Sun River Terrace,26481,High
Sunfield,26482,High
Sunny Crest,26483,High
Sunny Hill,26484,High
Sunny Hill Estates,26485,High
Sunnybrook Meadows,26486,High
Sunrise Hills,26487,High
Sunrise Ridge,26488,High
Surrey,26489,High
Swan Creek,26490,High
Swanwick,26491,High
Swedona,26492,High
Swygert,26493,High
Sylvan Woods,26494,High
Symerton,26495,High
Table Grove,26496,High
Talbott,26497,High
Tallmadge,26498,High
Tallula,26499,High
Tamalco,26500,High
Tamara Heights,26501,High
Tankville,26502,High
Tansill,26503,High
Tatumville,26504,High
Taylor Hill,26505,High
Taylor Ridge,26506,High
Tampico,26507,High
Tamms,26508,High
Tamaroa,26509,High
Taylor Springs,26510,High
Teheran,26511,High
Temple Hill,26512,High
Terre Haute,26513,High
Teutopolis,26514,High
Texas City,26515,High
Texas Junction,26516,High
Texico,26517,High
Thackeray,26518,High
Thawville,26519,High
Thayer,26520,High
The Burg,26521,High
The Cottage,26522,High
The Hall,26523,High
Third Lake,26524,High
Thornton Junction,26525,High
Thurber,26526,High
Ticona,26527,High
Timberlane,26528,High
Time,26529,High
Timewell,26530,High
Timmons,26531,High
Timothy,26532,High
Tinley Park,26533,High
Tiskilwa,26534,High
Todds Mill,26535,High
Todds Point,26536,High
Tolono,26537,High
Tomahawk Bluff,26538,High
Tomlinson,26539,High
Toms Prairie,26540,High
Tonica,26541,High
Tonti,26542,High
Topeka,26543,High
Torino,26544,High
Toronto,26545,High
Toulon,26546,High
Tovey,26547,High
Tovey Humphrey Station,26548,High
Towanda,26549,High
Tower Heights,26550,High
Tower Hill,26551,High
Tower Lake,26552,High
Towne Oaks,26553,High
Trailpark Gardens,26554,High
Trenton Corners,26555,High
Trivoli,26556,High
Troster,26557,High
Trout Valley,26558,High
Troxel,26559,High
Trilla,26560,High
Troy Grove,26561,High
Troy Junction,26562,High
Truro,26563,High
Troy Crossing,26564,High
Tuckers Corners,26565,High
Tunbridge,26566,High
Turner Camp,26567,High
Turner Landing,26568,High
Turpin,26569,High
Tuscarora,26570,High
Tuscola,26571,High
Twin Churches,26572,High
Ullin,26573,High
Ullrich,26574,High
Undercliff,26575,High
Union Center,26576,High
Union Town,26577,High
University,26578,High
Upper Alton,26579,High
Urbain,26580,High
Udina,26581,High
Twin Grove,26582,High
Urbandale,26583,High
Ulah,26584,High
Ursa,26585,High
Utah,26586,High
Utica,26587,High
Valier,26588,High
Valier Patch,26589,High
Valley City,26590,High
Valley Mission,26591,High
Valmeyer,26592,High
Van Burensburg,26593,High
Van Orin,26594,High
Van Peterson Subdivision,26595,High
Van Petten,26596,High
Van Wood,26597,High
Vandalia,26598,High
Vandercook,26599,High
Vanderville,26600,High
Varna,26601,High
Velma,26602,High
Venedy,26603,High
Venetian Village,26604,High
Vera,26605,High
Vergennes,26606,High
Vermilion,26607,High
Vermilion City,26608,High
Vermilion Grove,26609,High
Vermilion Heights,26610,High
Vermilionville,26611,High
Vermont,26612,High
Vernon Hills,26613,High
Villa Ridge,26614,High
Vevay Park,26615,High
Virden,26616,High
Virgil,26617,High
Volo,26618,High
Von Glen Acres,26619,High
Voorhies,26620,High
Wabash Point,26621,High
Wacker,26622,High
Waddams Grove,26623,High
Waggoner,26624,High
Wakefield,26625,High
Wagon Creek Heaven,26626,High
Walla Walla,26627,High
Walnut Prairie,26628,High
Walpole,26629,High
Walshville,26630,High
Waltersburg,26631,High
Waltham,26632,High
Waltonville,26633,High
Walz,26634,High
Wamac,26635,High
Wanda,26636,High
Wanlock,26637,High
Wapella,26638,High
Warnock,26639,High
Warrenhurst,26640,High
Warrensburg,26641,High
Wartburg,26642,High
Wartrace,26643,High
Wasson,26644,High
Wataga,26645,High
Waterman,26646,High
Watkins Ford,26647,High
Watseka,26648,High
Wauconda,26649,High
Waukegan,26650,High
Wauponsee,26651,High
Wayne Center,26652,High
Wayne City,26653,High
Webster Hill Estates,26654,High
Webster Park,26655,High
Wedges Corner,26656,High
Wedron,26657,High
Weedman,26658,High
Weir,26659,High
Welco Corners,26660,High
Welge,26661,High
Welland,26662,High
Wells Corners,26663,High
Wempletown,26664,High
Wendelin,26665,High
Wertenberg,26666,High
West Brooklyn,26667,High
West Chicago,26668,High
West City,26669,High
West Dundee,26670,High
West Frankfort,26671,High
West Grand Place,26672,High
West Hallock,26673,High
West Harvey,26674,High
West Highland Acres,26675,High
West Jersey,26676,High
West Junction,26677,High
West Kankakee,26678,High
West Lake Forest,26679,High
West Newell,26680,High
West Peoria,26681,High
West Point Landing,26682,High
West Pullman,26683,High
West Rural Hill,26684,High
West Sandford,26685,High
West Salem,26686,High
West Union,26687,High
West Vienna,26688,High
West York,26689,High
Western Springs,26690,High
Westervelt,26691,High
Westfield Corners,26692,High
Westmoreland,26693,High
Westview Acres,26694,High
Wetaug,26695,High
Wetzel,26696,High
White Ash,26697,High
White Heath,26698,High
White Pigeon,26699,High
Wichert,26700,High
Wilbern,26701,High
Wilberton,26702,High
Wilbur Heights,26703,High
Wilderman,26704,High
Wildwood Valley,26705,High
Willeford,26706,High
Willeys,26707,High
Williams Park,26708,High
Williamsburg Hill,26709,High
Williamsfield,26710,High
Willow Creek Trailer Park,26711,High
Willow Hill,26712,High
Willow Ridge,26713,High
Wilmette,26714,High
Wilsman,26715,High
Wilson Heights,26716,High
Wilton Center,26717,High
Wine Hill,26718,High
Winkel,26719,High
Winkle,26720,High
Winnebago,26721,High
Winneberger,26722,High
Winneshiek,26723,High
Winterrowd,26724,High
Winthrop Harbor,26725,High
Winthrop Harbor Station,26726,High
Witt,26727,High
Woburn,26728,High
Wolf Lake,26729,High
Wolfs,26730,High
Womac,26731,High
Wonder Center,26732,High
Wonder Lake,26733,High
Wood Dale,26734,High
Woodburn,26735,High
Woodhull,26736,High
Woodland Addition,26737,High
Woodland Junction,26738,High
Woodland Shores,26739,High
Woodruff Corners,26740,High
Woodvale,26741,High
Woodyard,26742,High
Woosung,26743,High
Wrights,26744,High
Wyanet,26745,High
Wyckles,26746,High
Wyckles Corners,26747,High
Wynoose,26748,High
Wyton,26749,High
Yantisville,26750,High
Yates City,26751,High
Yeager,26752,High
Yellow Creek,26753,High
Yeoward Addition,26754,High
York Center,26755,High
Yorkfield,26756,High
Youngsdale,26757,High
Yuton,26758,High
Zanesville,26759,High
Zearing,26760,High
Zenobia,26761,High
Zier Cors,26762,High
Aboite,26763,High
Abydel,26764,High
Academie,26765,High
Acme,26766,High
Adams Mill,26767,High
Adamsboro,26768,High
Ade,26769,High
Adyeville,26770,High
Africa,26771,High
Ainsworth,26772,High
Aix,26773,High
Alaska,26774,High
Aldine,26775,High
Alert,26776,High
Alfont,26777,High
Alfordsville,26778,High
Algiers,26779,High
Alida,26780,High
Allen Crossing,26781,High
Allensville,26782,High
Allisonville,26783,High
Allman,26784,High
Alma Lake,26785,High
Alquina,26786,High
Altamont Switch,26787,High
Alvarado,26788,High
Ambia,26789,High
Amo,26790,High
Andry,26791,High
Annandale Estates,26792,High
Anoka,26793,High
Angola,26794,High
Ansley Acres,26795,High
Anthony Wayne Village,26796,High
Antioch Grange,26797,High
Antiville,26798,High
Apalona,26799,High
Arabia,26800,High
Arba,26801,High
Arcana,26802,High
Arctic Springs,26803,High
Arda,26804,High
Ari,26805,High
Armiesburg,26806,High
Arney,26807,High
Aroma,26808,High
Art,26809,High
Arrowhead Park,26810,High
Artic,26811,High
Ash Grove,26812,High
Ash Iron Springs,26813,High
Ashboro,26814,High
Ashby Yards,26815,High
Asherville,26816,High
Asphaltum,26817,High
Atkinsonville,26818,High
Auburn Junction,26819,High
Aultshire,26820,High
Avalon Hills,26821,High
Avonburg,26822,High
Aylesworth,26823,High
Ayrshire,26824,High
Azalia,26825,High
Badger Grove,26826,High
Baileys Corner,26827,High
Bainter Town,26828,High
Bakers Corner,26829,High
Bakertown,26830,High
Balbec,26831,High
Bald Knobs,26832,High
Baldridge,26833,High
Bandon,26834,High
Banner Mills,26835,High
Banning Corner,26836,High
Banquo,26837,High
Bar-Barry Heights,26838,High
Ballstown,26839,High
Bandmill,26840,High
Barbersville,26841,High
Barce,26842,High
Bargersville,26843,High
Barbee,26844,High
Barnard,26845,High
Barnhart Town,26846,High
Barrick Corner,26847,High
Bartlettsville,26848,High
Bartonia,26849,High
Bartons Location,26850,High
Bascom Corner,26851,High
Bass Station,26852,High
Battle Ground,26853,High
Baugh City,26854,High
Beal,26855,High
Beamer,26856,High
Beanblossom,26857,High
Bear Branch,26858,High
Bear Wallow,26859,High
Beatys Beach,26860,High
Beaver City,26861,High
Beaver Dam,26862,High
Becks Grove,26863,High
Becks Mill,26864,High
Beckville,26865,High
Beech Brook,26866,High
Beehunter,26867,High
Beesons,26868,High
Behlmer Corner,26869,High
Bell Center,26870,High
Bell Rohr Park,26871,High
Belle Arbor,26872,High
Belle Union,26873,High
Bellfountain,26874,High
Bellmore,26875,High
Ben Davis,26876,High
Belshaw,26877,High
Benefiel Corner,26878,High
Bengal,26879,High
Benham,26880,High
Bennettsville,26881,High
Bennetts Switch,26882,High
Benton House,26883,High
Benwood,26884,High
Berlien,26885,High
Berne,26886,High
Bethel Village,26887,High
Bethevan,26888,High
Between-The-Lakes Park,26889,High
Beverly Hill,26890,High
Big Four Yard,26891,High
Billie Creek Village,26892,High
Billingsville,26893,High
Billtown,26894,High
Billville,26895,High
Bippus,26896,High
Birchim,26897,High
Blackhawk Beach,26898,High
Blackiston Mill,26899,High
Blackiston Village,26900,High
Blakesburg,26901,High
Blanford,26902,High
Bloods Wood Crossing,26903,High
Bloomingport,26904,High
Blue Lick,26905,High
Bluecast,26906,High
Bluff Point,26907,High
Board Park,26908,High
Boggstown,26909,High
Bogle Corner,26910,High
Bonds,26911,High
Bonnell,26912,High
Bonneyville Mills,26913,High
Boone Grove,26914,High
Boston Corner,26915,High
Boundary City,26916,High
Bowers,26917,High
Bowerstown,26918,High
Bowman Acres,26919,High
Bracken,26920,High
Bradfield Corner,26921,High
Bramble,26922,High
Braxtons Siding,26923,High
Braysville,26924,High
Braytown,26925,High
Brazil,26926,High
Breezy Point,26927,High
Brems,26928,High
Brendan Wood,26929,High
Brendonwood,26930,High
Brent Woods,26931,High
Bretzville,26932,High
Brick Chapel,26933,High
Brierwood Hills,26934,High
Brimstone Corners,26935,High
Bringhurst,26936,High
Brisco,26937,High
Broad Park,26938,High
Broad Ripple,26939,High
Bromer,26940,High
Brook,26941,High
Brookmoor,26942,High
Brooksburg,26943,High
Brookside Estates,26944,High
Brookston,26945,High
Brookville Heights,26946,High
Broom Hill,26947,High
Brown Jug Corner,26948,High
Brownsburg,26949,High
Bruce Lake Station,26950,High
Brummitt Acres,26951,High
Brunerstown,26952,High
Brushy Prairie,26953,High
Bryantsburg,26954,High
Bryantsville,26955,High
Buchanan Corner,26956,High
Buckskin,26957,High
Buddha,26958,High
Buenavista,26959,High
Buffaloville,26960,High
Bufkin,26961,High
Bullocktown,26962,High
Burdick,26963,High
Burge Terrace,26964,High
Burket,26965,High
Burlington Beach,26966,High
Burnettsville,26967,High
Burns City,26968,High
Burns Harbor,26969,High
Burr Oak,26970,High
Bushrod,26971,High
Busseron,26972,High
Butler Center,26973,High
Buttermilk Point,26974,High
C And C Beach,26975,High
Caborn,26976,High
Cagle Mill,26977,High
Calcutta,26978,High
Calvertville,26979,High
Cambridge City,26980,High
Camby,26981,High
Cammack,26982,High
Camp Brosend,26983,High
Camp Flat Rock,26984,High
Camp Roberts,26985,High
Camp Shor,26986,High
Campbell Corner,26987,High
Campbellsburg,26988,High
Candleglo Village,26989,High
Cannelburg,26990,High
Cannelton,26991,High
Cantaloupe,26992,High
Cape Sandy,26993,High
Capehart,26994,High
Cardonia,26995,High
Carlos,26996,High
Carp,26997,High
Carriage Estates,26998,High
Cartersburg,26999,High
Carwood,27000,High
Castle Garden,27001,High
Cates,27002,High
Cataract,27003,High
Cedar Canyons,27004,High
Cedar Farm Landing,27005,High
Celestine,27006,High
Celina,27007,High
Cementville,27008,High
Center Square,27009,High
Central Barren,27010,High
Chain-O-Lakes,27011,High
Chalmers,27012,High
Champlin Meadows,27013,High
Chapel Manor,27014,High
Charle Sumac Estates,27015,High
Charlesmac Village,27016,High
Charlestown,27017,High
Charlottesville,27018,High
Cherryvale,27019,High
Chesterton,27020,High
Chetwynd,27021,High
Chrisney,27022,High
Christiansburg,27023,High
Churubusco,27024,High
Circle Park,27025,High
Circleville,27026,High
Clanricarde,27027,High
Clark Siding,27028,High
Clarke Junction,27029,High
Clarks Hill,27030,High
Clarks Landing,27031,High
Clarks,27032,High
Clermont Heights,27033,High
Clinton Falls,27034,High
Clover Village,27035,High
Cloverland,27036,High
Clunette,27037,High
Clymers,27038,High
Coatesville,27039,High
Coats Spring,27040,High
Coe,27041,High
Coesse,27042,High
Coesse Corners,27043,High
Cofield Corner,27044,High
Coke Oven Hollow,27045,High
Coburg,27046,High
Cobbs Corner,27047,High
Collamer,27048,High
College Corner,27049,High
College Crest,27050,High
College Meadows,27051,High
Collett,27052,High
Columbia City,27053,High
Commiskey,27054,High
Concordia Gardens,27055,High
Conologue,27056,High
Contreras,27057,High
Converse,27058,High
Coolwood Acres,27059,High
Cooper Corner,27060,High
Coppess Corner,27061,High
Corkwell,27062,High
Corn Brook,27063,High
Cornelius,27064,High
Cornettsville,27065,High
Correct,27066,High
Corwin,27067,High
Corunna,27068,High
Corydon,27069,High
Corydon Junction,27070,High
Cosperville,27071,High
Country Club Heights,27072,High
Country Club Meadows,27073,High
County Squire Lakes,27074,High
Courtney Corner,27075,High
Courter,27076,High
Coveyville,27077,High
Covington Dells,27078,High
Coxton,27079,High
Coxville,27080,High
Cradick Corner,27081,High
Craigville,27082,High
Crane,27083,High
Crawleyville,27084,High
Cresco,27085,High
Crest Manor Addition,27086,High
Crestlawn,27087,High
Crestmoor,27088,High
Crestview Heights,27089,High
Critchfield,27090,High
Crompton Hill,27091,High
Crooked Lake,27092,High
Crossroad Temple,27093,High
Crothersville,27094,High
Crown Center,27095,High
Crows Nest,27096,High
Crumb Corner,27097,High
Crumstown,27098,High
Cumback,27099,High
Cunot,27100,High
Curby,27101,High
Curtisville,27102,High
Cuzco,27103,High
Cyclone,27104,High
